UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Regioes,UF,Municipio,Endereco_Padronizado
cefet_rj_uned_angra_dos_reis,2010,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Angra dos Reis,Sudeste,RJ,Angra dos Reis,Angra dos Reis/RJ
cefet_rj_uned_itaguai,2010,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Itaguaí,Sudeste,RJ,Itaguaí,Itaguaí/RJ
cefet_rj_uned_maria_da_graca,2006,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Maria da Graça,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cefet_rj_uned_nova_friburgo,2008,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Friburgo,Sudeste,RJ,Nova Friburgo,Nova Friburgo/RJ
cefet_rj_uned_nova_iguacu,2003,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Nova Iguaçu,Sudeste,RJ,Nova Iguaçu,Nova Iguaçu/RJ
cefet_rj_uned_petropolis,2008,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Petrópolis,Sudeste,RJ,Petrópolis,Petrópolis/RJ
cefet_rj_uned_valenca,2009,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Uned Valença,Sudeste,RJ,Valença,Valença/RJ
cefet_rj_unidade_maracana,1917,CEFET-RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Unidade Maracanã,Sudeste,RJ,Rio de Janeiro,Rio de Janeiro/RJ
cefet_mg_uned_araxa,1992,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Araxá,Sudeste,MG,Araxá,Araxá/MG
cefet_mg_uned_contagem,2008,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,Sudeste,MG,Contagem,Contagem/MG
cefet_mg_uned_curvelo,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,Sudeste,MG,Curvelo,Curvelo/MG
cefet_mg_uned_divinopolis,1987,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Divinópolis,Sudeste,MG,Divinópolis,Divinópolis/MG
