UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Tipo_Unidade,Regioes,UF,Municipio,Endereco_Padronizado,CEP,Telefone,E-mail,Site,Dirigente,Fonte
ifsuldeminas_reitoria_do_instituto_federal_do_sul_de_minas_gerais,,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Reitoria do Instituto Federal do Sul de Minas Gerais,Reitoria,Sudeste,MG,Pouso Alegre,"Avenida Vicente Simões, Nova Pouso Alegre, Pouso Alegre, MG, 37550-000",37550-000,(35) 3449-6150,reitoria@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,Cleber Ávila Barbosa,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_avancado_carmo_de_minas,2014,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Carmo de Minas,Campus Avançado,Sudeste,MG,Carmo de Minas,"Alameda Murilo Eugênio Rubião, s/nº, Bairro Chacrinha Carmo de Minas, MG, 37472-000",37472-000,(35) 99961-4276,secretaria.carmodeminas@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_avancado_tres_coracoes,2014,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Três Corações,Campus Avançado,Sudeste,MG,Três Corações,"Rua Coronel Edgar Cavalcanti de Albuquerque, nº 61 - Chácara das Rosas, Três Corações, MG, 37410-000",37410-000,(35) 3239-9494,gabinete.trescoracoes@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_inconfidentes,1918,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Inconfidentes,Campus,Sudeste,MG,Inconfidentes,"Praça Tiradentes, 416, Centro, Inconfidentes, MG, 37576-000",37576-000,(35) 3464-1200,gabinete.inconfidentes@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_machado,1946,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Machado,Campus,Sudeste,MG,Machado,"Km 03 Rodovia Machado-Paraguaçu, Bairro Santo Antônio, Machado, MG, 37750-000",37750-000,(35) 3295-9700,comunica.machado@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_muzambinho,1948,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Muzambinho,Campus,Sudeste,MG,Muzambinho,"Estrada de Muzambinho, Km 35 - Bairro Morro Preto - Cx. Postal 02 - CEP: 37890, 000 Muzambinho, MG, 37890-000",37890-000,(35) 3571-5051,gabinete@muz.ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_passos,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Passos,Campus,Sudeste,MG,Passos,"Rua da Penha, 290, Bairro Penha II Passos, MG, 37903-070",37903-070,(35) 3526-4856,gabinete.passos@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_pocos_de_caldas,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Poços de Caldas,Campus,Sudeste,MG,Poços de Caldas,"Avenida Dirce Pereira Rosa, nº 300, Bairro Jardim Esperança, Poços de Caldas, MG, 37713-100",37713-100,(35) 3697-4950,gabinete.pocos@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
ifsuldeminas_campus_pouso_alegre,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Pouso Alegre,Campus,Sudeste,MG,Pouso Alegre,"Avenida Maria da Conceição Santos, nº 900, Bairro Parque Real Pouso Alegre, MG, 37560-260",37560-260,(35) 3427-6600,gabinete.pousoalegre@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
cefet_mg_reitoria_do_centro_federal_de_educacao_tecnologica_de_minas_gerais,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Reitoria do Centro Federal de Educação Tecnológica de Minas Gerais,Reitoria,Sudeste,MG,Belo Horizonte,"Avenida Amazonas, Nº 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169",30421-169,(31) 3319-7000,gabinete@adm.cefetmg.br,www.cefetmg.br,Carla Simone Chamon,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais
