UID,Ano_Criacao,Sigla_IF,Nome_IF,Campus_IF,Tipo_Unidade,Regioes,UF,Municipio,Endereco_Padronizado,CEP,Telefone,E-mail,Site,Dirigente,Fonte,Endereco_Geocodificacao_Base,latitude,longitude,geocode_status,geocode_precisao,geocode_confianca,geocode_query,geocode_endereco_retornado,geocode_osm_type,geocode_osm_id,geocode_importance,revisar_manual
ifsuldeminas_reitoria_do_instituto_federal_do_sul_de_minas_gerais,,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Reitoria do Instituto Federal do Sul de Minas Gerais,Reitoria,Sudeste,MG,Pouso Alegre,"Avenida Vicente Simões, Nova Pouso Alegre, Pouso Alegre, MG, 37550-000",37550-000,(35) 3449-6150,reitoria@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,Cleber Ávila Barbosa,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Vicente Simões, Nova Pouso Alegre, Pouso Alegre, MG, 37550-000, Brasil",-22.2575333,-45.924759,ok,cep_municipio_uf,media,"37550-000, Pouso Alegre, MG, Brasil","37550-000, Quadrante Sudeste, Pouso Alegre, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_avancado_carmo_de_minas,2014,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Carmo de Minas,Campus Avançado,Sudeste,MG,Carmo de Minas,"Alameda Murilo Eugênio Rubião, s/n, Bairro Chacrinha Carmo de Minas, MG, 37472-000",37472-000,(35) 99961-4276,secretaria.carmodeminas@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Alameda Murilo Eugênio Rubião, s/n, Bairro Chacrinha Carmo de Minas, MG, 37472-000, Brasil",-22.1237421,-45.1184229,ok,cep_municipio_uf,media,"37472-000, Carmo de Minas, MG, Brasil","37472-000, Carmo de Minas, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_avancado_tres_coracoes,2014,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Avançado Três Corações,Campus Avançado,Sudeste,MG,Três Corações,"Rua Coronel Edgar Cavalcanti de Albuquerque, n 61 - Chácara das Rosas, Três Corações, MG, 37410-000",37410-000,(35) 3239-9494,gabinete.trescoracoes@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Coronel Edgar Cavalcanti de Albuquerque, n 61 - Chácara das Rosas, Três Corações, MG, 37410-000, Brasil",-21.689357,-45.2622233,ok,cep_municipio_uf,media,"37410-000, Três Corações, MG, Brasil","37410-000, Peró, Três Corações, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_inconfidentes,1918,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Inconfidentes,Campus,Sudeste,MG,Inconfidentes,"Praça Tiradentes, 416, Centro, Inconfidentes, MG, 37576-000",37576-000,(35) 3464-1200,gabinete.inconfidentes@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Praça Tiradentes, 416, Centro, Inconfidentes, MG, 37576-000, Brasil",-22.3174408,-46.3285029,ok,cep_municipio_uf,media,"37576-000, Inconfidentes, MG, Brasil","37576-000, Inconfidentes, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_machado,1946,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Machado,Campus,Sudeste,MG,Machado,"Km 03 Rodovia Machado-Paraguaçu, Bairro Santo Antônio, Machado, MG, 37750-000",37750-000,(35) 3295-9700,comunica.machado@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Km 03 Rodovia Machado-Paraguaçu, Bairro Santo Antônio, Machado, MG, 37750-000, Brasil",-21.6818227,-45.9108054,ok,cep_municipio_uf,media,"37750-000, Machado, MG, Brasil","37750-000, Machado, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_muzambinho,1948,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Muzambinho,Campus,Sudeste,MG,Muzambinho,"Estrada de Muzambinho, Km 35 - Bairro Morro Preto - Cx. Postal 02 -  37890-000 Muzambinho, MG, 37890-000",37890-000,(35) 3571-5051,gabinete@muz.ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Estrada de Muzambinho, Km 35 - Bairro Morro Preto - Cx. Postal 02 - 37890-000 Muzambinho, MG, 37890-000, Brasil",-21.3715181,-46.5237858,ok,cep_municipio_uf,media,"37890-000, Muzambinho, MG, Brasil","37890-000, Muzambinho, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_passos,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Passos,Campus,Sudeste,MG,Passos,"Rua da Penha, 290, Bairro Penha II Passos, MG, 37903-070",37903-070,(35) 3526-4856,gabinete.passos@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua da Penha, 290, Bairro Penha II Passos, MG, 37903-070, Brasil",-20.7145749,-46.6281697,ok,cep_municipio_uf,media,"37903-070, Passos, MG, Brasil","37903-070, COHAB, Passos, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_pocos_de_caldas,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Poços de Caldas,Campus,Sudeste,MG,Poços de Caldas,"Avenida Dirce Pereira Rosa, n 300, Bairro Jardim Esperança, Poços de Caldas, MG, 37713-100",37713-100,(35) 3697-4950,gabinete.pocos@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Dirce Pereira Rosa, n 300, Bairro Jardim Esperança, Poços de Caldas, MG, 37713-100, Brasil",-21.8367475,-46.5587802,ok,cep_municipio_uf,media,"37713-100, Poços de Caldas, MG, Brasil","37713-100, Região Urbana Homogênea XII, Poços de Caldas, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
ifsuldeminas_campus_pouso_alegre,2013,IFSULDEMINAS,Instituto Federal do Sul de Minas Gerais,Campus Pouso Alegre,Campus,Sudeste,MG,Pouso Alegre,"Avenida Maria da Conceição Santos, n 900, Bairro Parque Real Pouso Alegre, MG, 37560-260",37560-260,(35) 3427-6600,gabinete.pousoalegre@ifsuldeminas.edu.br,https://portal.ifsuldeminas.edu.br/index.php,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Maria da Conceição Santos, n 900, Bairro Parque Real Pouso Alegre, MG, 37560-260, Brasil",-22.2918107,-45.9213559,ok,cep_municipio_uf,media,"37560-260, Pouso Alegre, MG, Brasil","37560-260, Quadrante Sudoeste, Pouso Alegre, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
cefet_mg_reitoria_do_centro_federal_de_educacao_tecnologica_de_minas_gerais,,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Reitoria do Centro Federal de Educação Tecnológica de Minas Gerais,Reitoria,Sudeste,MG,Belo Horizonte,"Avenida Amazonas, N 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169",30421-169,(31) 3319-7000,gabinete@adm.cefetmg.br,www.cefetmg.br,Carla Simone Chamon,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Amazonas, N 5.253 - Nova Suíça, Belo Horizonte, MG, 30421-169, Brasil",-19.9302939,-43.9769263,ok,cep_municipio_uf,media,"30421-169, Belo Horizonte, MG, Brasil","30421-169, Nova Suíça, Regional Oeste, Belo Horizonte, Minas Gerais, Região Sudeste, Brasil",,,0.12000999999999995,False
cefet_mg_uned_araxa,1992,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Araxá,Uned,Sudeste,MG,Araxá,"Avenida Ministro Olavo Drummond, São Geraldo, Araxá, MG, 38180-510",38180-510,(34) 3669-4500,diretoria@araxa.cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Ministro Olavo Drummond, São Geraldo, Araxá, MG, 38180-510, Brasil",-19.6140057,-46.9263021,ok,cep_municipio_uf,media,"38180-510, Araxá, MG, Brasil","Rua Vital Brasil, Jardim das Primaveras, Araxá, Minas Gerais, Região Sudeste, 38182-192, Brasil",way,320757160.0,0.053395186541542655,False
cefet_mg_uned_contagem,2008,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Contagem,Uned,Sudeste,MG,Contagem,"Avenida Doutor Antônio Chagas Diniz, Cidade Industrial, Contagem, MG, 32210-160",32210-160,(31) 3368-4310,dc-cn@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Avenida Doutor Antônio Chagas Diniz, Cidade Industrial, Contagem, MG, 32210-160, Brasil",-19.9554696,-44.0269197,ok,endereco_padronizado,alta,"Avenida Doutor Antônio Chagas Diniz, Cidade Industrial, Contagem, MG, 32210-160, Brasil","Avenida Doutor Antônio Chagas Diniz, Vila Vaquinha, Cidade Industrial Coronel Juventino Dias, Parque Industrial, Contagem, Minas Gerais, Região Sudeste, 32217-970, Brasil",way,39421526.0,0.05339652628366518,False
cefet_mg_uned_curvelo,2010,CEFET-MG,Centro Federal de Educação Tecnológica de Minas Gerais,Uned Curvelo,Uned,Sudeste,MG,Curvelo,"Rua Raymundo Mattoso 900 - Santa Rita, Curvelo, MG, 35790-636",35790-636,(38) 3729-3900,dc-cv@cefetmg.br,www.cefetmg.br,None,https://www.gov.br/mec/pt-br/assuntos/ept/rede-federal/minas-gerais,"Rua Raymundo Mattoso 900 - Santa Rita, Curvelo, MG, 35790-636, Brasil",-18.7439626,-44.4451319,ok,endereco_padronizado,alta,"Rua Raymundo Mattoso 900 - Santa Rita, Curvelo, MG, 35790-636, Brasil","Rua Raymundo Mattoso, Santa Rita, Curvelo, Minas Gerais, Região Sudeste, 35790-246, Brasil",way,510227831.0,0.053392217135881555,False
